Year,Week,SKU,Category,Size,Total_Qty,Total_Amount,Avg_Price,Max_Price,Min_Price,Std_Price,Has_Promotion,Transaction_Count,Start_Date,End_Date,Week_ID,Date
2022,13,AN209-BIEGE-XL,Bottom,XL,1,241.0,241.0,241.0,241.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,BL003-50BLACK-B,Blouse,Free,1,412.0,412.0,412.0,412.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,BL009-61BLACK,Blouse,Free,3,1017.0,339.0,339.0,339.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,BL015-63PINK,Blouse,Free,1,379.0,379.0,379.0,379.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,BL023-74PINK-B,Blouse,Free,1,383.0,383.0,383.0,383.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,BL035-161GOLD,Blouse,Free,4,1488.0,372.0,372.0,372.0,0.0,1,2,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,BL057-65BLACK-A,Blouse,Free,3,1149.0,383.0,383.0,383.0,0.0,0,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,BL099-L,Blouse,L,1,259.0,259.0,259.0,259.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,BL102-L,Blouse,L,1,259.0,259.0,259.0,259.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,BL103-XS,Blouse,XS,1,460.0,460.0,460.0,460.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,BL104-XXL,Blouse,XXL,1,493.0,493.0,493.0,493.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,BL110-L,Blouse,L,1,349.0,349.0,349.0,349.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,BL111-L,Blouse,L,2,560.0,280.0,280.0,280.0,0.0,1,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,BL111-M,Blouse,M,1,280.0,280.0,280.0,280.0,0.0,1,1,2022-03-31,2022-03-31,2022-W13,2022-03-31
2022,13,BL113-S,Blouse,S,1,493.0,493.0,493.0,493.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,BL113-XS,Blouse,XS,1,493.0,493.0,493.0,493.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,BTM029-NP-L,Bottom,L,1,518.0,518.0,518.0,518.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,BTM029-NP-S,Bottom,S,1,518.0,518.0,518.0,518.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,BTM032-NP-XS,Bottom,XS,1,297.0,297.0,297.0,297.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,BTM047-PP-L,Bottom,L,1,360.0,360.0,360.0,360.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0002-SKD-S,Set,S,1,1127.0,1127.0,1127.0,1127.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0002-SKD-XL,Set,XL,2,2398.0,1199.0,1199.0,1199.0,0.0,1,2,2022-04-01,2022-04-02,2022-W13,2022-04-01
2022,13,J0002-SKD-XXXL,Set,3XL,4,4508.0,1127.0,1127.0,1127.0,0.0,1,4,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0003-SET-L,Set,L,7,4816.0,688.0,688.0,688.0,0.0,1,7,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0003-SET-M,Set,M,13,8482.0,652.4615384615385,688.0,646.0,15.772419940175027,1,13,2022-03-31,2022-04-03,2022-W13,2022-03-31
2022,13,J0003-SET-S,Set,S,5,3230.0,646.0,646.0,646.0,0.0,1,5,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0003-SET-XL,Set,XL,5,3440.0,688.0,688.0,688.0,0.0,1,5,2022-03-31,2022-04-03,2022-W13,2022-03-31
2022,13,J0003-SET-XS,Set,XS,2,1334.0,667.0,688.0,646.0,29.698484809834994,1,2,2022-03-31,2022-04-02,2022-W13,2022-03-31
2022,13,J0003-SET-XXL,Set,XXL,6,3918.0,653.0,688.0,646.0,17.146428199482248,1,6,2022-03-31,2022-04-03,2022-W13,2022-03-31
2022,13,J0003-SET-XXXL,Set,3XL,7,4522.0,646.0,646.0,646.0,0.0,1,7,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0004-SKD-M,Set,M,1,1127.0,1127.0,1127.0,1127.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0005-DR-L,Western Dress,L,1,1249.0,1249.0,1249.0,1249.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0005-DR-S,Western Dress,S,1,1249.0,1249.0,1249.0,1249.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0005-DR-XL,Western Dress,XL,2,2498.0,1249.0,1249.0,1249.0,0.0,1,2,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0005-DR-XS,Western Dress,XS,1,1249.0,1249.0,1249.0,1249.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0006-SET-L,Ethnic Dress,L,3,3747.0,1249.0,1249.0,1249.0,0.0,1,3,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0006-SET-M,Ethnic Dress,M,2,2348.0,1174.0,1174.0,1174.0,0.0,1,2,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0006-SET-XL,Ethnic Dress,XL,1,1174.0,1174.0,1174.0,1174.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0006-SET-XXL,Ethnic Dress,XXL,1,1174.0,1174.0,1174.0,1174.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0007-SKD-M,Set,M,1,1079.0,1079.0,1079.0,1079.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0007-SKD-S,Set,S,1,1079.0,1079.0,1079.0,1079.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0007-SKD-XXL,Set,XXL,1,1079.0,1079.0,1079.0,1079.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0008-SKD-L,Set,L,4,4588.0,1147.0,1147.0,1147.0,0.0,0,4,2022-04-01,2022-04-03,2022-W13,2022-04-01
2022,13,J0008-SKD-M,Set,M,1,1079.0,1079.0,1079.0,1079.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0008-SKD-S,Set,S,7,7621.0,1088.7142857142858,1147.0,1079.0,25.701584164627437,1,7,2022-03-31,2022-04-03,2022-W13,2022-03-31
2022,13,J0008-SKD-XL,Set,XL,2,2294.0,1147.0,1147.0,1147.0,0.0,1,2,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0008-SKD-XS,Set,XS,2,2294.0,1147.0,1147.0,1147.0,0.0,1,2,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0008-SKD-XXL,Set,XXL,2,2158.0,1079.0,1079.0,1079.0,0.0,1,2,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0008-SKD-XXXL,Set,3XL,1,1147.0,1147.0,1147.0,1147.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0009-SKD-L,Set,L,1,990.0,990.0,990.0,990.0,0.0,1,1,2022-03-31,2022-03-31,2022-W13,2022-03-31
2022,13,J0009-SKD-M,Set,M,2,1980.0,990.0,990.0,990.0,0.0,1,2,2022-04-01,2022-04-02,2022-W13,2022-04-01
2022,13,J0009-SKD-XL,Set,XL,1,990.0,990.0,990.0,990.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0009-SKD-XS,Set,XS,1,990.0,990.0,990.0,990.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0012-SKD-L,Set,L,1,1228.0,1228.0,1228.0,1228.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0012-SKD-M,Set,M,1,1154.0,1154.0,1154.0,1154.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0012-SKD-S,Set,S,2,2308.0,1154.0,1154.0,1154.0,0.0,1,2,2022-04-01,2022-04-02,2022-W13,2022-04-01
2022,13,J0012-SKD-XL,Set,XL,2,2308.0,1154.0,1154.0,1154.0,0.0,1,2,2022-04-02,2022-04-03,2022-W13,2022-04-02
2022,13,J0012-SKD-XXL,Set,XXL,1,1154.0,1154.0,1154.0,1154.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0012-SKD-XXXL,Set,3XL,2,2308.0,1154.0,1154.0,1154.0,0.0,1,2,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0013-SKD-L,Set,L,1,1085.0,1085.0,1085.0,1085.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0013-SKD-M,Set,M,1,1085.0,1085.0,1085.0,1085.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0013-SKD-XXXL,Set,3XL,2,2170.0,1085.0,1085.0,1085.0,0.0,1,2,2022-04-02,2022-04-03,2022-W13,2022-04-02
2022,13,J0014-LCD-XS,Set,XS,1,1648.0,1648.0,1648.0,1648.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0023-TP-S,Top,S,2,798.0,399.0,399.0,399.0,0.0,1,2,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0023-TP-XL,Top,XL,1,399.0,399.0,399.0,399.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0023-TP-XS,Top,XS,2,798.0,399.0,399.0,399.0,0.0,1,2,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0025-DR-S,Western Dress,S,1,714.0,714.0,714.0,714.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0025-DR-XL,Western Dress,XL,1,714.0,714.0,714.0,714.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0033-KR-XXL,kurta,XXL,1,425.0,425.0,425.0,425.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0034-SET-XL,Set,XL,1,743.0,743.0,743.0,743.0,0.0,1,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0041-SET-XL,Set,XL,1,899.0,899.0,899.0,899.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0041-SET-XS,Set,XS,1,899.0,899.0,899.0,899.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0044-TP-S,Top,S,1,299.0,299.0,299.0,299.0,0.0,0,1,2022-04-01,2022-04-01,2022-W13,2022-04-01
2022,13,J0047-TP-XL,Top,XL,1,346.0,346.0,346.0,346.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0048-TP-S,Top,S,1,333.0,333.0,333.0,333.0,0.0,1,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
2022,13,J0055-SET-XS,Set,XS,1,935.0,935.0,935.0,935.0,0.0,0,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0062-DR-XXL,Western Dress,XXL,1,499.0,499.0,499.0,499.0,0.0,1,1,2022-04-03,2022-04-03,2022-W13,2022-04-03
2022,13,J0077-SKD-M,Set,M,1,1170.0,1170.0,1170.0,1170.0,0.0,0,1,2022-04-02,2022-04-02,2022-W13,2022-04-02
